times(ps)|lambda_restraints|lambda_electrostatics|lambda_sterics|(0.0, 0.0, 0.0)|(1.0, 0.0, 0.0)
0.0|1.0|0.0|0.0|-126592.04775714528|-126578.75423132574
0.2|1.0|0.0|0.0|-126677.81733892059|-126670.40121635713
0.4|1.0|0.0|0.0|-126654.98178601376|-126647.7926876104
0.6|1.0|0.0|0.0|-126709.82981326648|-126701.90919256947
0.8|1.0|0.0|0.0|-126653.95664497378|-126649.2395874249
1.0|1.0|0.0|0.0|-126686.63329660468|-126680.61715636187
1.2|1.0|0.0|0.0|-126452.11775282232|-126446.6439480731
1.4|1.0|0.0|0.0|-126305.23569439002|-126300.55647420118
1.6|1.0|0.0|0.0|-126103.87968112435|-126099.95720813586
1.8|1.0|0.0|0.0|-126278.34917432643|-126271.58889933662
2.0|1.0|0.0|0.0|-126322.59843756052|-126315.76248785066
2.2|1.0|0.0|0.0|-126123.91809917352|-126117.81367175734
2.4|1.0|0.0|0.0|-126145.97691762328|-126139.36799207353
2.6|1.0|0.0|0.0|-126505.42323911235|-126498.47377732245
2.8|1.0|0.0|0.0|-126273.99443103037|-126267.71342926745
3.0|1.0|0.0|0.0|-126432.36900761086|-126424.62496126059
3.2|1.0|0.0|0.0|-126513.22027380137|-126508.06178038563
3.4|1.0|0.0|0.0|-126627.08619877344|-126622.21779178451
3.6|1.0|0.0|0.0|-126416.55912763532|-126411.09793533944
3.8|1.0|0.0|0.0|-126403.18992709575|-126397.84224687993
4.0|1.0|0.0|0.0|-126572.67259938829|-126567.72851767931
4.2|1.0|0.0|0.0|-126602.70507252317|-126597.35739230733
4.4|1.0|0.0|0.0|-126574.3245345358|-126567.19849839916
4.6|1.0|0.0|0.0|-126541.33013624977|-126535.20048392692
4.8|1.0|0.0|0.0|-126887.0732158403|-126881.96517223792
5.0|1.0|0.0|0.0|-126612.92893005918|-126605.61370712245
5.2|1.0|0.0|0.0|-126374.09951362787|-126368.77705831872
5.4|1.0|0.0|0.0|-126527.70374716153|-126521.64976955872
5.6|1.0|0.0|0.0|-126381.61898937657|-126377.96137790818
5.8|1.0|0.0|0.0|-126367.01033209007|-126362.53291115463
6.0|1.0|0.0|0.0|-126556.78449081609|-126551.99175854718
6.2|1.0|0.0|0.0|-126293.47718853103|-126288.0916709552
6.4|1.0|0.0|0.0|-126284.86144404818|-126279.07232796548
6.6|1.0|0.0|0.0|-126154.51173878742|-126149.99648049197
6.8|1.0|0.0|0.0|-126388.77224337474|-126383.90383638581
7.0|1.0|0.0|0.0|-126398.53664093303|-126394.63939285121
7.2|1.0|0.0|0.0|-126472.32658968294|-126469.35005069489
7.4|1.0|0.0|0.0|-126150.80992915973|-126147.2279924114
7.6|1.0|0.0|0.0|-126454.91303815767|-126450.5112919423
7.8|1.0|0.0|0.0|-126276.9573988402|-126269.45298910337
8.0|1.0|0.0|0.0|-126220.21492416503|-126213.05105066835
8.2|1.0|0.0|0.0|-126097.46438017135|-126092.39417392899
8.4|1.0|0.0|0.0|-126288.44974625147|-126279.14175568713
8.6|1.0|0.0|0.0|-126422.17578204014|-126415.55424403706
8.8|1.0|0.0|0.0|-126395.93998860156|-126386.68244785057
9.0|1.0|0.0|0.0|-126780.56943519675|-126771.72810540597
9.2|1.0|0.0|0.0|-126961.18568505073|-126955.08125763456
9.4|1.0|0.0|0.0|-126666.00122019928|-126658.78689688924
9.6|1.0|0.0|0.0|-126608.4379831591|-126603.85966259698
9.8|1.0|0.0|0.0|-126643.85375213562|-126638.30427266636
10.0|1.0|0.0|0.0|-126608.98826174559|-126600.89106670182
10.2|1.0|0.0|0.0|-126501.91681549889|-126492.6592747479
10.4|1.0|0.0|0.0|-126600.11744993491|-126593.53374929185
10.6|1.0|0.0|0.0|-126655.15153146796|-126649.62727690538
10.8|1.0|0.0|0.0|-126833.15345521794|-126829.1174701494
11.0|1.0|0.0|0.0|-126725.24130444766|-126721.18009447241
11.2|1.0|0.0|0.0|-126383.29246951493|-126378.14658855252
11.4|1.0|0.0|0.0|-126359.17035548789|-126355.22265759272
11.6|1.0|0.0|0.0|-126552.34269083127|-126550.85442133724
11.8|1.0|0.0|0.0|-126492.78457669233|-126489.93416223765
12.0|1.0|0.0|0.0|-126516.24363724534|-126512.18242727012
12.2|1.0|0.0|0.0|-126537.07941016172|-126532.50108959958
12.4|1.0|0.0|0.0|-126719.5416648437|-126713.32372534747
12.6|1.0|0.0|0.0|-127013.41964628553|-127005.37290105512
12.8|1.0|0.0|0.0|-126909.39334781705|-126902.02767506694
13.0|1.0|0.0|0.0|-127167.87192523849|-127159.21978224778
13.2|1.0|0.0|0.0|-126935.2119118187|-126930.10386821632
13.4|1.0|0.0|0.0|-126742.62360193288|-126735.78765222302
13.6|1.0|0.0|0.0|-126592.83453619646|-126587.25983182053
13.8|1.0|0.0|0.0|-127084.91896187887|-127078.28481142245
14.0|1.0|0.0|0.0|-126764.85305252459|-126757.86575337467
14.2|1.0|0.0|0.0|-126886.98608962835|-126880.20058973186
14.4|1.0|0.0|0.0|-126833.91950400031|-126825.78447159652
14.6|1.0|0.0|0.0|-127128.609476271|-127122.37892432143
14.8|1.0|0.0|0.0|-126982.65209483022|-126978.1494489881
15.0|1.0|0.0|0.0|-127111.09731963674|-127105.16946656731
15.2|1.0|0.0|0.0|-126968.38799417645|-126959.87458817248
15.4|1.0|0.0|0.0|-126769.72924163053|-126760.79962466637
15.6|1.0|0.0|0.0|-126935.51781908763|-126928.05124671082
15.8|1.0|0.0|0.0|-126682.68857944981|-126671.22385936446
16.0|1.0|0.0|0.0|-126817.57912597465|-126811.79000989195
16.2|1.0|0.0|0.0|-126979.42655537034|-126973.73833891437
16.4|1.0|0.0|0.0|-127056.21253273453|-127050.19639249172
16.6|1.0|0.0|0.0|-126929.1168404353|-126923.74393531278
16.8|1.0|0.0|0.0|-127102.95176111361|-127096.645534444
17.0|1.0|0.0|0.0|-127204.49432127606|-127197.50702212613
17.2|1.0|0.0|0.0|-127115.92967392811|-127108.33697701791
17.4|1.0|0.0|0.0|-126897.42758575632|-126892.6979157541
17.6|1.0|0.0|0.0|-127161.2044348926|-127155.88197958346
17.8|1.0|0.0|0.0|-127060.32299519436|-127053.90325644471
18.0|1.0|0.0|0.0|-127208.0260462958|-127202.14864303972
18.2|1.0|0.0|0.0|-127022.17538883194|-127015.44033874878
18.4|1.0|0.0|0.0|-127203.0884195296|-127198.44703670076
18.6|1.0|0.0|0.0|-127176.80185981367|-127169.89023538378
18.8|1.0|0.0|0.0|-127305.10948314566|-127298.99244327613
19.0|1.0|0.0|0.0|-126980.8305005883|-126975.83596906597
19.2|1.0|0.0|0.0|-127216.51941613815|-127210.44021362865
19.4|1.0|0.0|0.0|-127325.84367404155|-127319.52483491861
19.6|1.0|0.0|0.0|-127050.4496677748|-127044.68577659878
19.8|1.0|0.0|0.0|-127054.08773379234|-127049.72382493697
20.0|1.0|0.0|0.0|-126843.4097339979|-126839.3863613827
20.2|1.0|0.0|0.0|-126941.78257270448|-126938.52855974296
20.4|1.0|0.0|0.0|-126808.39662537184|-126804.51198974336
20.6|1.0|0.0|0.0|-127098.24749168698|-127095.20789043223
20.8|1.0|0.0|0.0|-126667.56710677063|-126664.80497948934
21.0|1.0|0.0|0.0|-126528.1511996486|-126523.96386513996
21.2|1.0|0.0|0.0|-126603.64707781948|-126601.25071168503
21.4|1.0|0.0|0.0|-126830.63327543264|-126826.3450412973
21.6|1.0|0.0|0.0|-126900.90390620613|-126899.894909939
21.8|1.0|0.0|0.0|-126568.9132573916|-126566.34031691041
22.0|1.0|0.0|0.0|-126754.54334563813|-126750.9614088898
22.2|1.0|0.0|0.0|-126439.59999628064|-126437.15318033283
22.4|1.0|0.0|0.0|-126493.06555246608|-126490.00072630464
22.6|1.0|0.0|0.0|-126569.41782811788|-126566.35300195645
22.8|1.0|0.0|0.0|-126503.79523339396|-126501.73940349967
23.0|1.0|0.0|0.0|-126516.16938549269|-126512.95320989117
23.2|1.0|0.0|0.0|-126716.98041300217|-126712.50299206674
23.4|1.0|0.0|0.0|-126384.8341825829|-126380.89909714105
23.6|1.0|0.0|0.0|-126842.94427945073|-126840.71187520969
23.8|1.0|0.0|0.0|-126728.33629678415|-126726.54532840998
24.0|1.0|0.0|0.0|-126882.28419898394|-126880.03918228956
24.2|1.0|0.0|0.0|-126587.28963465514|-126584.84281870733
